Date,Open,High,Low,Close,Volume
2021 Mar 29 15:40 Mon,376.640265744,376.645229374,376.143902716,376.451647793,31829
2021 Mar 29 15:45 Mon,376.481429575,376.684938416,376.322593406,376.491356835,26207
2021 Mar 29 15:50 Mon,376.372229708,376.382156969,375.726957772,375.836157638,38203
2021 Mar 29 15:55 Mon,375.717030511,376.253102582,375.647539687,375.935430244,66345
2021 Mar 29 16:00 Mon,375.935430244,376.501284096,375.498630779,376.441720532,133161
2021 Mar 29 16:05 Mon,376.302738885,376.302738885,376.302738885,376.302738885,66655
2021 Mar 29 16:20 Mon,376.302738885,376.302738885,376.302738885,376.302738885,17196
2021 Mar 30 09:15 Tue,374.80372254,374.80372254,374.80372254,374.80372254,1035
2021 Mar 30 09:35 Tue,374.80372254,375.776594075,374.347068554,375.141249399,101194
2021 Mar 30 09:40 Tue,374.893067885,376.074411892,374.545613765,374.589293711,31181
2021 Mar 30 09:45 Tue,374.555541026,375.958362216,374.138596082,375.656672767,35568
2021 Mar 30 09:50 Tue,375.568121603,375.856012159,374.902995145,375.746812293,17165
2021 Mar 30 09:55 Tue,375.607830645,376.153829976,375.568121603,375.970175656,34226
2021 Mar 30 10:00 Tue,375.985066547,377.116774251,375.923021168,376.362302448,26789
2021 Mar 30 10:05 Tue,376.491356835,376.640265744,375.041976793,375.041976793,20592
2021 Mar 30 10:10 Tue,374.98241323,375.488703518,374.625031849,375.260376525,16671
2021 Mar 30 10:15 Tue,375.280231047,376.679974786,375.200812962,376.18371103,63108
2021 Mar 30 10:20 Tue,376.322593406,376.322593406,375.250449265,375.250449265,32276
2021 Mar 30 10:25 Tue,375.220667483,375.448994476,374.247795948,374.486050202,99235
2021 Mar 30 10:30 Tue,374.28750499,375.051904054,374.28750499,374.98241323,30974
2021 Mar 30 10:35 Tue,374.902995145,375.066894217,374.079032519,374.10385067,24825
2021 Mar 30 10:40 Tue,374.039323476,374.595250068,373.652160314,373.731578399,19899
2021 Mar 30 10:45 Tue,373.647196684,373.662087575,373.016815638,373.155797286,24775
2021 Mar 30 10:50 Tue,373.036670159,373.324560716,372.803379536,373.04163379,40537
2021 Mar 30 10:55 Tue,373.04659742,373.672014835,373.026742899,373.473469624,32765
2021 Mar 30 11:00 Tue,373.413906061,373.771287441,373.364269758,373.364269758,13820
2021 Mar 30 11:05 Tue,373.264997152,373.617414902,372.957252075,373.264997152,17842
2021 Mar 30 11:10 Tue,373.264997152,373.542960448,373.126015505,373.453615103,21459
2021 Mar 30 11:15 Tue,373.493324145,373.493324145,373.126015505,373.250106262,30230
2021 Mar 30 11:20 Tue,373.21536085,373.39405154,373.026742899,373.364269758,35555
2021 Mar 30 11:25 Tue,373.314633455,373.910269089,373.304706195,373.741505659,19575
2021 Mar 30 11:30 Tue,373.731578399,374.148523342,373.165724547,373.523105927,30519
2021 Mar 30 11:35 Tue,373.622874896,373.652160314,373.235215371,373.384124279,17116
2021 Mar 30 11:40 Tue,373.374197019,373.374197019,372.351689181,372.701327298,79318
2021 Mar 30 11:45 Tue,372.917543033,373.870560047,372.917543033,373.830851004,19130
2021 Mar 30 11:50 Tue,373.835814635,374.436413899,373.835814635,374.059177997,45485
2021 Mar 30 11:55 Tue,374.088959779,374.088959779,373.562814969,373.910269089,17657
2021 Mar 30 12:00 Tue,373.910269089,373.940050871,373.314633455,373.523105927,18434
2021 Mar 30 12:05 Tue,373.324560716,373.354342497,372.798415906,372.798415906,19355
2021 Mar 30 12:10 Tue,372.798415906,372.855299109,371.850362522,371.855326152,26808
2021 Mar 30 12:15 Tue,371.865253413,372.351689181,371.676635462,371.706417244,25700
2021 Mar 30 12:20 Tue,371.790798959,372.004235061,371.368890385,371.696489983,27401
2021 Mar 30 12:25 Tue,371.413563057,371.785835329,371.35727549,371.448308469,16483
2021 Mar 30 12:30 Tue,371.2894723,371.952613306,371.200126955,371.845498165,13151
2021 Mar 30 12:35 Tue,371.835471631,372.073725885,371.686562723,371.686562723,17734
2021 Mar 30 12:40 Tue,371.820580741,372.51052535,371.686562723,372.51052535,14697
2021 Mar 30 12:45 Tue,372.52045261,372.565125283,371.63692642,371.63692642,13545
2021 Mar 30 12:50 Tue,371.617071899,371.706417244,371.438381209,371.537653814,7977
2021 Mar 30 12:55 Tue,371.507872033,371.587290117,371.358963124,371.428453948,14181
2021 Mar 30 13:00 Tue,371.358963124,371.865253413,371.358963124,371.666708202,10917
2021 Mar 30 13:05 Tue,371.656780941,371.855326152,371.468162991,371.706417244,10258
2021 Mar 30 13:10 Tue,371.63692642,372.599870695,371.63692642,372.431107265,19562
2021 Mar 30 13:15 Tue,372.361616441,372.560161652,372.302052878,372.307016508,6658
2021 Mar 30 13:20 Tue,372.361616441,372.51052535,372.202780272,372.302052878,15038
2021 Mar 30 13:25 Tue,372.16307123,372.16307123,371.726271765,371.944671498,13839
2021 Mar 30 13:30 Tue,371.825544371,372.738852343,371.795762589,372.490670828,13151
2021 Mar 30 13:35 Tue,372.540307131,372.857979469,372.540307131,372.619725216,11121
2021 Mar 30 13:40 Tue,372.634616107,373.116088244,372.634616107,373.066451941,12121
2021 Mar 30 13:45 Tue,373.036670159,373.205433589,372.728925082,372.728925082,13629
2021 Mar 30 13:50 Tue,372.768634124,373.255069892,372.6991433,372.887761251,14163
2021 Mar 30 13:55 Tue,372.937397554,372.947324814,372.617243401,372.778561385,9677
2021 Mar 30 14:00 Tue,372.768634124,373.433760582,372.709070561,373.155797286,18460
2021 Mar 30 14:05 Tue,373.21536085,373.4039788,373.086306462,373.101197353,43565
2021 Mar 30 14:10 Tue,373.086306462,373.382138827,372.987033857,373.160760916,25535
2021 Mar 30 14:15 Tue,373.22528811,373.274924413,372.272271096,372.450961786,19048
2021 Mar 30 14:20 Tue,372.460889047,372.659434258,372.16307123,372.262343836,13353
2021 Mar 30 14:25 Tue,372.177962121,372.758706864,372.034016843,372.441034526,25970
2021 Mar 30 14:30 Tue,372.500598089,372.758706864,372.450961786,372.629652476,22955
2021 Mar 30 14:35 Tue,372.470816307,372.6991433,372.182925751,372.277234726,24387
2021 Mar 30 14:40 Tue,372.192853012,372.262343836,371.909926086,371.98438054,10966
2021 Mar 30 14:45 Tue,371.885107934,372.034016843,371.716344505,371.716344505,10352
2021 Mar 30 14:50 Tue,371.756053547,371.860289783,371.567435596,371.835471631,14094
2021 Mar 30 14:55 Tue,371.934744237,371.9943078,371.567435596,371.666708202,12521
2021 Mar 30 15:00 Tue,371.676635462,372.649506998,371.676635462,372.441034526,22315
2021 Mar 30 15:05 Tue,372.391398223,373.175651807,372.252416575,372.996961117,17015
2021 Mar 30 15:10 Tue,372.907615772,372.907615772,372.282198357,372.33679829,25358
2021 Mar 30 15:15 Tue,372.242489314,372.421180005,371.939707867,372.331834659,12697
2021 Mar 30 15:20 Tue,372.421180005,372.490670828,371.775908068,371.914889716,14600
2021 Mar 30 15:25 Tue,371.785835329,371.914889716,371.478090251,371.825544371,21297
2021 Mar 30 15:30 Tue,371.746126286,371.845398892,371.378817645,371.527726554,21684
2021 Mar 30 15:35 Tue,371.527726554,371.746126286,371.2894723,371.547581075,36864
2021 Mar 30 15:40 Tue,371.567435596,372.043944103,370.971799962,371.031363526,34417
2021 Mar 30 15:45 Tue,370.961872702,371.329181343,370.902309138,371.021436265,74301
2021 Mar 30 15:50 Tue,370.936061824,371.061145307,370.386091589,370.386091589,41682
2021 Mar 30 15:55 Tue,370.39601885,370.445655153,369.989001167,370.286818984,96836
2021 Mar 30 16:00 Tue,370.286818984,371.190199695,369.095547716,371.190199695,291281
2021 Mar 30 16:05 Tue,370.842745575,370.842745575,370.842745575,370.842745575,338114
2021 Mar 31 06:50 Wed,370.177619117,370.177619117,370.177619117,370.177619117,100
2021 Mar 31 07:05 Wed,369.830164998,369.830164998,369.790455955,369.790455955,615
2021 Mar 31 09:30 Wed,370.535000498,370.535000498,370.535000498,370.535000498,201
