Date,Open,High,Low,Close,Volume
2019 Oct 04 12:45 Fri,117.183794442,117.269448153,117.183794442,117.245655456,34009
2019 Oct 04 12:50 Fri,117.240896916,117.40268726,117.240896916,117.383653102,43535
2019 Oct 04 12:55 Fri,117.374136023,117.416962879,117.336067707,117.359860404,31785
2019 Oct 04 13:00 Fri,117.363667236,117.40268726,117.345584786,117.361287966,37737
2019 Oct 04 13:05 Fri,117.355101865,117.383653102,117.326550628,117.345584786,30186
2019 Oct 04 13:10 Fri,117.340826246,117.355101865,117.174277363,117.179035902,26451
2019 Oct 04 13:15 Fri,117.174277363,117.20758714,117.060072414,117.06920881,27226
2019 Oct 04 13:20 Fri,117.079106572,117.112416349,117.060072414,117.107657809,37791
2019 Oct 04 13:25 Fri,117.117174888,117.183794442,117.09814073,117.155243205,21596
2019 Oct 04 13:30 Fri,117.155243205,117.19807006,117.126691968,117.193311521,20892
2019 Oct 04 13:35 Fri,117.190361226,117.326550628,117.164760284,117.317033549,70154
2019 Oct 04 13:40 Fri,117.30751647,117.317033549,117.188552981,117.188552981,28858
2019 Oct 04 13:45 Fri,117.192835667,117.240896916,117.115747327,117.2028286,38643
2019 Oct 04 13:50 Fri,117.20758714,117.321792088,117.20758714,117.317033549,21227
2019 Oct 04 13:55 Fri,117.326550628,117.383653102,117.297999391,117.378894563,39402
2019 Oct 04 14:00 Fri,117.383653102,117.455031195,117.374136023,117.412204339,26621
2019 Oct 04 14:05 Fri,117.40268726,117.440755576,117.326550628,117.326550628,31882
2019 Oct 04 14:10 Fri,117.317033549,117.393170181,117.269448153,117.364618944,31498
2019 Oct 04 14:15 Fri,117.374136023,117.416962879,117.345584786,117.4074458,30730
2019 Oct 04 14:20 Fri,117.402877602,117.478823893,117.374136023,117.40268726,53213
2019 Oct 04 14:25 Fri,117.3966915,117.478823893,117.393170181,117.478823893,23202
2019 Oct 04 14:30 Fri,117.488340972,117.488340972,117.4074458,117.474065353,17165
2019 Oct 04 14:35 Fri,117.469306814,117.631097158,117.45683944,117.616821539,43073
2019 Oct 04 14:40 Fri,117.616821539,117.650131316,117.60254592,117.631097158,23210
2019 Oct 04 14:45 Fri,117.631097158,117.669165474,117.612063,117.631097158,24873
2019 Oct 04 14:50 Fri,117.612063,117.688199632,117.60254592,117.659648395,20487
2019 Oct 04 14:55 Fri,117.659648395,117.678682553,117.573994683,117.669165474,34842
2019 Oct 04 15:00 Fri,117.673924013,117.777945687,117.664406934,117.697716711,35613
2019 Oct 04 15:05 Fri,117.70723379,117.716750869,117.621580079,117.635855697,20732
2019 Oct 04 15:10 Fri,117.635855697,117.654889855,117.573994683,117.640614237,33498
2019 Oct 04 15:15 Fri,117.641756286,117.669165474,117.554960525,117.569236144,24549
2019 Oct 04 15:20 Fri,117.566476191,117.688199632,117.559719065,117.678682553,21336
2019 Oct 04 15:25 Fri,117.678682553,117.716750869,117.669165474,117.678682553,30921
2019 Oct 04 15:30 Fri,117.688199632,117.821438739,117.678682553,117.745302106,44504
2019 Oct 04 15:35 Fri,117.754819185,117.878541213,117.745302106,117.855700223,53181
2019 Oct 04 15:40 Fri,117.854748515,117.964004583,117.830955818,117.931265831,52016
2019 Oct 04 15:45 Fri,117.935643687,117.978470543,117.888058292,117.90709245,63382
2019 Oct 04 15:50 Fri,117.897575371,118.01178032,117.888058292,117.964194925,88848
2019 Oct 04 15:55 Fri,117.973712004,118.021297399,117.76014875,117.888058292,159570
2019 Oct 04 16:00 Fri,117.897575371,118.068882794,117.897575371,117.983229083,306348
2019 Oct 04 16:05 Fri,118.01178032,118.01178032,118.01178032,118.01178032,145386
2019 Oct 04 16:10 Fri,118.01178032,118.01178032,118.01178032,118.01178032,6068
2019 Oct 04 16:35 Fri,118.164053585,118.164053585,118.164053585,118.164053585,610
2019 Oct 04 16:50 Fri,118.01178032,118.01178032,118.01178032,118.01178032,11811
2019 Oct 07 04:50 Mon,117.631097158,117.631097158,117.631097158,117.631097158,150
2019 Oct 07 06:35 Mon,117.964194925,117.964194925,117.964194925,117.964194925,200
2019 Oct 07 08:05 Mon,117.888058292,118.306809771,117.878541213,118.306809771,1457
2019 Oct 07 09:25 Mon,117.726267948,117.726267948,117.726267948,117.726267948,100
2019 Oct 07 09:30 Mon,117.583511762,117.583511762,117.583511762,117.583511762,280
2019 Oct 07 09:35 Mon,117.564477604,117.90709245,117.564477604,117.797646041,213741
2019 Oct 07 09:40 Mon,117.792887502,117.821438739,117.564477604,117.593028841,44424
2019 Oct 07 09:45 Mon,117.573994683,117.81192166,117.564477604,117.621580079,57985
2019 Oct 07 09:50 Mon,117.583511762,117.593028841,117.412204339,117.481774187,94110
2019 Oct 07 09:55 Mon,117.478823893,117.612063,117.317033549,117.364618944,69341
2019 Oct 07 10:00 Mon,117.374136023,117.478823893,117.336067707,117.440755576,49665
2019 Oct 07 10:05 Mon,117.440755576,117.578753223,117.431238497,117.535926367,72482
2019 Oct 07 10:10 Mon,117.535926367,117.678682553,117.516892209,117.678682553,48064
2019 Oct 07 10:15 Mon,117.702475251,117.754819185,117.650131316,117.715799161,47456
2019 Oct 07 10:20 Mon,117.70723379,117.721509409,117.516892209,117.525743092,94808
