Date,Open,High,Low,Close,Volume
2019 Nov 13 12:15 Wed,159.650823158,159.650823158,159.352061384,159.459428896,14226
2019 Nov 13 12:20 Wed,159.426751827,159.68816838,159.389406606,159.68816838,9111
2019 Nov 13 12:25 Wed,159.678832074,159.68816838,159.520114882,159.655491311,18415
2019 Nov 13 12:30 Wed,159.669495769,159.753522518,159.632150547,159.641486853,19022
2019 Nov 13 12:35 Wed,159.641486853,159.753522518,159.632150547,159.660159464,10863
2019 Nov 13 12:40 Wed,159.655491311,159.800204045,159.650823158,159.800204045,7629
2019 Nov 13 12:45 Wed,159.753522518,159.902903405,159.753522518,159.772195129,8475
2019 Nov 13 12:50 Wed,159.814768682,159.865558183,159.772195129,159.851553725,6665
2019 Nov 13 12:55 Wed,159.818876656,159.818876656,159.697504685,159.79086774,9585
2019 Nov 13 13:00 Wed,159.818876656,159.884230794,159.678832074,159.800204045,10308
2019 Nov 13 13:05 Wed,159.800204045,159.856221878,159.725513602,159.725513602,7471
2019 Nov 13 13:10 Wed,159.772195129,159.874894489,159.711509143,159.734849907,9655
2019 Nov 13 13:15 Wed,159.734849907,159.753522518,159.660159464,159.734849907,12022
2019 Nov 13 13:20 Wed,159.740825143,160.005602765,159.697504685,159.8935671,43555
2019 Nov 13 13:25 Wed,159.865558183,159.884230794,159.632150547,159.800204045,74686
2019 Nov 13 13:30 Wed,159.781531434,159.823544809,159.674630737,159.823544809,10712
2019 Nov 13 13:35 Wed,159.853047534,159.930912322,159.809540351,159.8935671,12809
2019 Nov 13 13:40 Wed,159.884230794,159.930912322,159.809540351,159.8935671,15961
2019 Nov 13 13:45 Wed,159.898235252,159.898235252,159.725513602,159.725513602,8436
2019 Nov 13 13:50 Wed,159.730181754,159.856221878,159.697504685,159.856221878,8068
2019 Nov 13 13:55 Wed,159.912239711,159.978060664,159.874894489,159.884230794,14177
2019 Nov 13 14:00 Wed,159.898795431,160.014939071,159.230689413,159.492105965,51993
2019 Nov 13 14:05 Wed,159.580800867,159.580800867,159.258044788,159.464097049,19530
2019 Nov 13 14:10 Wed,159.510778576,159.557460104,159.383898185,159.48491701,9282
2019 Nov 13 14:15 Wed,159.491265698,159.520114882,159.296043551,159.305379857,9949
2019 Nov 13 14:20 Wed,159.286800609,159.426751827,159.221353107,159.370733995,11901
2019 Nov 13 14:25 Wed,159.342725078,159.370733995,159.32872062,159.333388773,8044
2019 Nov 13 14:30 Wed,159.324052467,159.351781295,159.214630968,159.214630968,15984
2019 Nov 13 14:35 Wed,159.216684955,159.258698329,159.118653748,159.165335275,12015
2019 Nov 13 14:40 Wed,159.155998969,159.221353107,159.127990053,159.212016802,13525
2019 Nov 13 14:45 Wed,159.212016802,159.389406606,159.17467158,159.333388773,10712
2019 Nov 13 14:50 Wed,159.361397689,159.38343137,159.268034635,159.307527207,13085
2019 Nov 13 14:55 Wed,159.314716162,159.365318937,159.305379857,159.305379857,10260
2019 Nov 13 15:00 Wed,159.333388773,159.417415522,159.268034635,159.333388773,23277
2019 Nov 13 15:05 Wed,159.333388773,159.342725078,159.137326358,159.202680497,17745
2019 Nov 13 15:10 Wed,159.249362024,159.342725078,159.212016802,159.314716162,11172
2019 Nov 13 15:15 Wed,159.296043551,159.333388773,159.230689413,159.230689413,13239
2019 Nov 13 15:20 Wed,159.249362024,159.258698329,159.17467158,159.193344191,23864
2019 Nov 13 15:25 Wed,159.221353107,159.268034635,159.118653748,159.122761722,16442
2019 Nov 13 15:30 Wed,159.090644831,159.202680497,159.090644831,159.17467158,13717
2019 Nov 13 15:35 Wed,159.193344191,159.230689413,158.959936555,159.081308526,24907
2019 Nov 13 15:40 Wed,159.099981137,159.146662664,158.922591333,158.959936555,22537
2019 Nov 13 15:45 Wed,158.959936555,159.202680497,158.849674788,159.165241912,25231
2019 Nov 13 15:50 Wed,159.184007886,159.268034635,159.109317442,159.268034635,23572
2019 Nov 13 15:55 Wed,159.249362024,159.417415522,159.137326358,159.417415522,41133
2019 Nov 13 16:00 Wed,159.417415522,159.464097049,159.184007886,159.230689413,80115
2019 Nov 13 16:05 Wed,159.230689413,159.230689413,159.230689413,159.230689413,24152
2019 Nov 13 16:10 Wed,159.230689413,159.230689413,159.230689413,159.230689413,25000
