user_names,id,replyCount,retweetCount,likeCount,quoteCount,conversationId,retweetedTweet,inReplyToTweetId,results,result_counts,final_score
007iKb,1.4388402648446198e+18,0.0,0.0,1.0,0.0,1.4381053215457976e+18,0.0,1.4381053215457976e+18,0.0,1,0.0
00undercover,1.4387048849042473e+18,0.0,0.0,0.0,0.0,1.4378767428830945e+18,0.0,1.4378767428830945e+18,0.0,1,0.0
02Ub1LFQeIpOBFO,1.438937288604541e+18,0.0,0.0,0.0,0.0,1.4387634920021238e+18,0.0,1.4387644799704883e+18,0.0,1,0.0
02_276,1.4390196844399862e+18,0.0,0.0,0.0,0.0,1.4379137778658386e+18,0.0,1.4379137778658386e+18,0.0,1,0.0
03MOMI,2.8777823085606707e+18,0.0,0.0,14.0,0.0,2.8777823085606707e+18,0.0,0.0,0.0,2,0.0
0ctooo,1.4385791118956503e+18,0.0,0.0,0.0,0.0,1.438320959547605e+18,0.0,1.438320959547605e+18,0.0,1,0.0
0fbAJG1xA5fAl3W,1.4391722419593994e+18,0.0,0.0,0.0,0.0,1.43884559006711e+18,0.0,1.43884559006711e+18,0.0,1,0.0
0hJcrk,1.4391378291209708e+18,0.0,0.0,0.0,0.0,1.437861003983659e+18,0.0,1.437861003983659e+18,0.0,1,0.0
0lukayode,1.4389038618387128e+18,1.0,0.0,0.0,0.0,1.4389038618387128e+18,0.0,0.0,0.0,1,0.0
0ut_of_time_man,1.438848986186666e+18,0.0,0.0,1.0,0.0,1.438848986186666e+18,0.0,0.0,0.0,1,0.0
0x13hst,1.43874235509658e+18,0.0,0.0,0.0,0.0,1.43874235509658e+18,0.0,0.0,0.0,1,0.0
0x190C5A,1.439263180895703e+18,1.0,0.0,3.0,0.0,1.439263180895703e+18,0.0,0.0,0.0,1,0.0
0xA1EC,1.4388753766636052e+18,0.0,0.0,0.0,0.0,1.43884034808474e+18,0.0,1.43884034808474e+18,0.0,1,0.0
0xAndrewWise,8.635301006735454e+18,1.0,0.0,1.0,0.0,8.635245612398891e+18,0.0,4.317239594937725e+18,0.0,6,0.0
0xMiko91,1.4396557707406418e+18,0.0,0.0,0.0,0.0,1.4396377477619139e+18,0.0,1.439637747761914e+18,0.0,1,0.0
0xModelo,1.4393518967084687e+18,0.0,1.0,0.0,0.0,1.4393515799167795e+18,0.0,1.4393515799167795e+18,0.0,1,0.0
0xSporty,1.4389536625129144e+18,0.0,0.0,0.0,0.0,1.4389536625129144e+18,0.0,0.0,0.0,1,0.0
0xWolff,2.8774330546550743e+18,1.0,0.0,4.0,0.0,2.8774302138739794e+18,0.0,1.4388465412556513e+18,0.0,2,0.0
0x_Contractor,4.317578298625233e+18,3.0,2.0,3.0,0.0,4.3168713437664215e+18,0.0,4.317364178177503e+18,0.0,3,0.0
0x_Hank,1.438928454531969e+18,0.0,1.0,2.0,0.0,1.438928454531969e+18,0.0,0.0,0.0,1,0.0
0xinsz,1.439671269629309e+18,0.0,0.0,0.0,0.0,1.439671269629309e+18,0.0,0.0,0.0,1,0.0
0xkowloon,1.4389400827953193e+18,0.0,0.0,0.0,0.0,1.43879326704751e+18,0.0,1.43879326704751e+18,0.0,1,0.0
0xncx0,1.439034653504e+18,0.0,0.0,0.0,0.0,1.439034653504e+18,0.0,0.0,0.0,1,0.0
0xskye,1.439293204398895e+18,0.0,0.0,1.0,0.0,1.439293023989371e+18,0.0,1.439293104964649e+18,0.0,1,0.0
100_uhmillion,4.315728031370203e+18,0.0,3.0,13.0,2.0,4.315728031370203e+18,0.0,0.0,0.0,3,0.0
100k_Wing,1.438783998742995e+18,0.0,0.0,1.0,0.0,1.438783998742995e+18,0.0,0.0,0.0,1,0.0
100media_fr,1.438801371894063e+18,0.0,2.0,2.0,0.0,1.438801371894063e+18,0.0,0.0,0.0,1,0.0
100pixs,1.4392556308842086e+18,0.0,0.0,0.0,0.0,1.438752107507503e+18,0.0,1.438752107507503e+18,0.0,1,0.0
104_gochi_usa,1.4390735315270042e+18,0.0,0.0,2.0,0.0,1.4390735315270042e+18,0.0,0.0,0.0,1,0.0
10TrillionUSDT,1.438808341967483e+18,0.0,1.0,0.0,0.0,1.438808341967483e+18,0.0,0.0,0.0,1,0.0
10YearTarget,1.4388711629357793e+18,1.0,0.0,1.0,0.0,1.4386299160194621e+18,0.0,1.438629916019462e+18,0.0,1,0.0
10hrs30min,1.4392568708841062e+18,0.0,0.0,0.0,0.0,1.438166079830995e+18,0.0,1.4391907516662292e+18,0.0,1,0.0
10minutetrading,1.43886270438776e+18,0.0,0.0,0.0,0.0,1.43886270438776e+18,0.0,0.0,0.0,1,0.0
117_j,1.439124052199846e+18,0.0,0.0,0.0,0.0,1.4386707704571167e+18,0.0,1.4386707704571167e+18,0.0,1,0.0
