user_names,id,replyCount,retweetCount,likeCount,quoteCount,conversationId,retweetedTweet,inReplyToTweetId,results,result_count,result_counts,final_score,user_names
69CryptoCuck69,1.4013420874428006e+18,0.0,0.0,0.0,0.0,1.4013420874428006e+18,0.0,0.0,0.0,1,1,0.0,69CryptoCuck69
818Ventures,1.3766354563773522e+18,1.0,0.0,0.0,0.0,1.376635452459864e+18,0.0,1.376635454569648e+18,0.0,1,1,0.0,818Ventures
8Chartist,1.406012426147881e+18,0.0,0.0,0.0,0.0,1.406012426147881e+18,0.0,0.0,0.0,1,1,0.0,8Chartist
8_yuce,7.107348802686775e+18,0.0,0.0,1.0,0.0,7.107348802686775e+18,0.0,0.0,0.0,5,5,0.0,8_yuce
8hjo241xTkleRxu,1.3573426563433308e+18,0.0,0.0,0.0,0.0,1.3573414032237855e+18,0.0,1.3573414032237855e+18,0.0,1,1,0.0,8hjo241xTkleRxu
96season,1.3651207175624704e+18,0.0,0.0,0.0,0.0,1.365118092381016e+18,0.0,1.365118092381016e+18,0.0,1,1,0.0,96season
9lgfmZLOVTrV0uP,4.1426635577684296e+18,0.0,0.0,4.0,0.0,4.1426635577684296e+18,0.0,0.0,0.0,3,3,0.0,9lgfmZLOVTrV0uP
AAATrade,5.557797551729324e+18,0.0,0.0,2.0,0.0,5.557797551729324e+18,0.0,0.0,1.0,4,4,25.0,AAATrade
AAPLFIRE,1.3623869407004877e+18,0.0,0.0,0.0,0.0,1.3623869407004877e+18,0.0,0.0,0.0,1,1,0.0,AAPLFIRE
AAPL_moves,6.982005090046902e+19,0.0,13.0,62.0,0.0,6.982005090046902e+19,0.0,0.0,0.0,49,49,0.0,AAPL_moves
AAPL_network,6.999811258127159e+18,3.0,0.0,2.0,0.0,6.999811253945389e+18,0.0,1.361360652745466e+18,0.0,5,5,0.0,AAPL_network
AAPLsilicon,2.1939642306909828e+20,6.0,3.0,83.0,3.0,2.1939642305948923e+20,0.0,4.1134655991062856e+18,2.0,157,157,1.2738853503184715,AAPLsilicon
ACFER01,1.388085974245122e+18,0.0,4.0,8.0,0.0,1.388085974245122e+18,0.0,0.0,0.0,1,1,0.0,ACFER01
ACFER15,1.3954243652698808e+18,0.0,1.0,3.0,0.0,1.3954243652698808e+18,0.0,0.0,0.0,1,1,0.0,ACFER15
AD90346705,1.4160396845227459e+18,0.0,1.0,2.0,0.0,1.4160396845227459e+18,0.0,0.0,0.0,1,1,0.0,AD90346705
ADHDRyan,1.3615040791686226e+18,1.0,0.0,2.0,0.0,1.3615040791686226e+18,0.0,0.0,0.0,1,1,0.0,ADHDRyan
ADZ_Trading,2.7632773373589094e+18,0.0,0.0,0.0,0.0,2.7632773373589094e+18,0.0,0.0,0.0,2,2,0.0,ADZ_Trading
AGoldylocks,1.4313999124119593e+18,1.0,1.0,2.0,0.0,1.4313511890656338e+18,0.0,1.4313511890656338e+18,0.0,1,1,0.0,AGoldylocks
AGrow0908,1.4185974193114112e+18,0.0,0.0,0.0,0.0,1.4185974193114112e+18,0.0,0.0,0.0,1,1,0.0,AGrow0908
AHJS776,2.7596315146497106e+18,0.0,0.0,0.0,0.0,2.759611638195376e+18,0.0,2.759611638195376e+18,0.0,2,2,0.0,AHJS776
AIRAPLC,4.141268223121101e+18,0.0,1.0,3.0,0.0,4.141268223121101e+18,0.0,0.0,0.0,3,3,0.0,AIRAPLC
AJButton2,1.4201200616338637e+18,1.0,0.0,1.0,0.0,1.4201200616338637e+18,0.0,0.0,0.0,1,1,0.0,AJButton2
AK_Investings,1.3878882724126433e+18,1.0,0.0,0.0,0.0,1.3878854942273782e+18,0.0,1.3878854942273782e+18,0.0,1,1,0.0,AK_Investings
ALEALEALEX,1.438301272155689e+18,0.0,0.0,0.0,0.0,1.438301272155689e+18,0.0,0.0,0.0,1,1,0.0,ALEALEALEX
ALLINTRADERS1,4.248947676399649e+18,0.0,1.0,0.0,0.0,4.248599544092451e+18,0.0,0.0,0.0,3,3,0.0,ALLINTRADERS1
AMilliBy30,1.3571331776937615e+18,0.0,0.0,0.0,0.0,1.3571331776937615e+18,0.0,0.0,0.0,1,1,0.0,AMilliBy30
ASergioamador80,2.9088509646564053e+19,6.0,2.0,15.0,0.0,2.9074164118762877e+19,0.0,8.196991728683991e+18,0.0,21,21,0.0,ASergioamador80
AWMCheung,1.4376568276347986e+18,0.0,2.0,13.0,0.0,1.4376568276347986e+18,0.0,0.0,0.0,1,1,0.0,AWMCheung
A_Alderson,5.616728347189817e+18,0.0,0.0,0.0,0.0,5.616728347189817e+18,0.0,0.0,2.0,4,4,50.0,A_Alderson
A_N_Joshi,1.3908926757804155e+18,0.0,0.0,0.0,0.0,1.3908926757804155e+18,0.0,0.0,0.0,1,1,0.0,A_N_Joshi
AapLonly,1.3569217315171533e+18,0.0,0.0,1.0,0.0,1.3569217315171533e+18,0.0,0.0,0.0,1,1,0.0,AapLonly
AaronSkloff,1.4201361822608507e+18,0.0,0.0,0.0,0.0,1.4201361822608507e+18,0.0,0.0,1.0,1,1,100.0,AaronSkloff
AbacusExchange,1.3875178663925555e+18,0.0,0.0,1.0,0.0,1.3875178663925555e+18,0.0,0.0,0.0,1,1,0.0,AbacusExchange
AbbasKh46931826,1.4043282215423386e+18,0.0,0.0,0.0,0.0,1.4043282215423386e+18,0.0,0.0,0.0,1,1,0.0,AbbasKh46931826
AbdelKariiiiiim,4.245096561358504e+18,0.0,0.0,1.0,0.0,4.245096561358504e+18,0.0,0.0,0.0,3,3,0.0,AbdelKariiiiiim
AbedAndria,1.388625889399804e+18,0.0,0.0,2.0,0.0,1.388625889399804e+18,0.0,0.0,0.0,1,1,0.0,AbedAndria
Abhishe00335390,4.150902732904956e+18,0.0,0.0,1.0,1.0,4.150902732904956e+18,0.0,0.0,0.0,3,3,0.0,Abhishe00335390
AbidaInvestor,1.3630264926539776e+18,0.0,0.0,0.0,0.0,1.3630264926539776e+18,0.0,0.0,0.0,1,1,0.0,AbidaInvestor
Abn_Scott,1.371488885562282e+18,1.0,0.0,1.0,0.0,1.3714686999207076e+18,0.0,1.3714686999207076e+18,0.0,1,1,0.0,Abn_Scott
