user_names,id,replyCount,retweetCount,likeCount,quoteCount,conversationId,retweetedTweet,inReplyToTweetId,results,result_counts,final_score
rowdyondatrack,1.4231256448047063e+18,0.0,0.0,1.0,0.0,1.4231256448047063e+18,0.0,0.0,0.0,1,0.0
rr6093298,2.540742229399202e+19,0.0,1.0,5.0,0.0,2.540742229399202e+19,0.0,0.0,0.0,18,0.0
runituplogan,1.4203596287690916e+18,3.0,1.0,3.0,0.0,1.4203596287690916e+18,0.0,0.0,0.0,1,0.0
russ_holbrook,1.419800047387095e+18,0.0,0.0,2.0,0.0,1.419800047387095e+18,0.0,0.0,0.0,1,0.0
rv_ing_tw,1.4204062031973663e+18,0.0,0.0,0.0,0.0,1.4204062031973663e+18,0.0,0.0,0.0,1,0.0
ryan00716029,2.120869904944096e+19,3.0,1.0,0.0,1.0,2.1208696394219995e+19,0.0,4.2479356608263373e+18,1.0,15,6.666666666666667
ryanoneill64,2.8360740414599946e+18,2.0,1.0,1.0,0.0,2.8360715237241774e+18,0.0,2.836072886537482e+18,1.0,2,50.0
s_bhatotia,1.41503029128294e+18,0.0,0.0,0.0,1.0,1.41503029128294e+18,0.0,0.0,0.0,1,0.0
s_dentist,4.2499855885495255e+18,6.0,3.0,20.0,1.0,4.2499855885495255e+18,0.0,0.0,0.0,3,0.0
saaaaa1111,1.8550012616238313e+19,2.0,1.0,3.0,0.0,1.8550012616238313e+19,0.0,0.0,0.0,13,0.0
saanglee,1.4297857500112118e+18,1.0,0.0,0.0,0.0,1.4297857500112118e+18,0.0,0.0,0.0,1,0.0
sabbhagwanb,1.4365410292686725e+18,0.0,1.0,0.0,0.0,1.4364795250643763e+18,0.0,1.4364795250643763e+18,0.0,1,0.0
sabreshockey25,1.4389784818161787e+18,0.0,0.0,3.0,1.0,1.4389784818161787e+18,0.0,0.0,0.0,1,0.0
sachinsyd,1.4254162131952271e+18,0.0,0.0,0.0,0.0,1.4254153398028288e+18,0.0,1.4254153398028288e+18,0.0,1,0.0
sadbeartrades,2.8412957688968765e+18,2.0,3.0,4.0,0.0,2.8412856475044823e+18,0.0,1.4225643823204966e+18,0.0,2,0.0
sadegh310,1.433307207416701e+18,0.0,1.0,1.0,0.0,1.433307207416701e+18,0.0,0.0,0.0,1,0.0
sajanatwal,1.412782405103108e+18,0.0,0.0,0.0,0.0,1.4127822913283195e+18,0.0,1.4127822913283195e+18,0.0,1,0.0
salabop,2.837733073106854e+18,4.0,4.0,5.0,0.0,2.837715519491711e+18,0.0,1.4185895450506977e+18,0.0,2,0.0
saleemtheedream,1.4122486358997443e+18,0.0,0.0,4.0,0.0,1.4122486358997443e+18,0.0,0.0,0.0,1,0.0
salunseipan,2.8502141787497964e+18,1.0,0.0,0.0,0.0,2.850214058402689e+18,0.0,1.4345504510604247e+18,0.0,2,0.0
samsa72088264,1.435050051022295e+18,0.0,0.0,0.0,0.0,1.4350362505835766e+18,0.0,1.4350362505835766e+18,0.0,1,0.0
sankhamstocks,1.4121111661349683e+18,0.0,0.0,1.0,0.0,1.4121111661349683e+18,0.0,0.0,1.0,1,100.0
sanvai,1.4203775483960033e+18,0.0,0.0,0.0,0.0,1.4203775483960033e+18,0.0,0.0,0.0,1,0.0
sapna987,1.4109752180515185e+18,1.0,1.0,2.0,0.0,1.4109752180515185e+18,0.0,0.0,0.0,1,0.0
saraprater11,1.4293103414275973e+18,0.0,0.0,1.0,0.0,1.4293103414275973e+18,0.0,0.0,0.0,1,0.0
sauraj_tripathi,1.426987272218366e+18,5.0,2.0,10.0,0.0,1.426985794732925e+18,0.0,1.426985794732925e+18,0.0,1,0.0
sawguur,1.4209112907892285e+18,0.0,0.0,0.0,0.0,1.4209112907892285e+18,0.0,0.0,0.0,1,0.0
sbi_stock_team,1.415955279955456e+18,0.0,3.0,12.0,0.0,1.415955279955456e+18,0.0,0.0,0.0,1,0.0
scalperryan,1.4385988452529725e+18,7.0,0.0,16.0,0.0,1.4385988452529725e+18,0.0,0.0,0.0,1,0.0
scalpmasteer1,1.2858877419533136e+19,0.0,3.0,10.0,0.0,1.2858877419533136e+19,0.0,0.0,0.0,9,0.0
scarletfu,1.4197622806574735e+18,0.0,4.0,12.0,0.0,1.4197622806574735e+18,0.0,0.0,0.0,1,0.0
schaeffers,4.2854829133128704e+18,0.0,3.0,1.0,0.0,4.2854829133128704e+18,0.0,0.0,0.0,3,0.0
scottsnames,1.4378570736229622e+18,0.0,0.0,0.0,0.0,1.437848124953809e+18,0.0,1.4378481266021704e+18,0.0,1,0.0
seattlehikertoo,4.2749732129175183e+18,0.0,0.0,2.0,0.0,4.2749732129175183e+18,0.0,0.0,0.0,3,0.0
sekhri209,1.4213803050263142e+18,0.0,0.0,0.0,0.0,1.4210811067580047e+18,0.0,0.0,0.0,1,0.0
sekky112,1.419234286159364e+18,0.0,0.0,2.0,0.0,1.419234286159364e+18,0.0,0.0,0.0,1,0.0
selfless_x,1.432546709708501e+18,0.0,0.0,0.0,0.0,1.432546709708501e+18,0.0,0.0,0.0,1,0.0
sellmeonu,2.870862145592672e+18,0.0,0.0,0.0,0.0,2.870862145592672e+18,0.0,0.0,1.0,2,50.0
serfio19,1.413486494224765e+18,1.0,0.0,1.0,0.0,1.4134829792093553e+18,0.0,1.4134829792093553e+18,0.0,1,0.0
sergious12,2.8260273974231736e+18,1.0,0.0,1.0,1.0,2.8260273974231736e+18,0.0,0.0,0.0,2,0.0
seyedoption,3.996464051487419e+19,33.0,5.0,136.0,3.0,3.996464051487419e+19,0.0,0.0,1.0,28,3.571428571428571
shahil_21,1.4251681614359675e+18,0.0,0.0,1.0,0.0,1.4251570003636142e+18,0.0,1.4251582961016013e+18,1.0,1,100.0
shanthirex,1.42985424838101e+18,0.0,2.0,4.0,0.0,1.42985424838101e+18,0.0,0.0,0.0,1,0.0
shaolintrader88,5.674380638524383e+18,1.0,0.0,1.0,1.0,5.674380638524383e+18,0.0,0.0,1.0,4,25.0
shareseer,1.4149815272937554e+18,0.0,0.0,0.0,0.0,1.4149815272937554e+18,0.0,0.0,0.0,1,0.0
shareslanger,8.514487985058562e+18,19.0,89.0,243.0,3.0,8.514487985058562e+18,0.0,0.0,0.0,6,0.0
sharhsss,1.4305483322004767e+18,0.0,0.0,0.0,0.0,1.4284105112474255e+18,0.0,1.4284105112474255e+18,0.0,1,0.0
sharkbaitmuahah,2.8639479161932227e+18,0.0,0.0,0.0,0.0,2.863946260361687e+18,0.0,1.4393689918777754e+18,0.0,2,0.0
shaurya123k,1.413219382671577e+18,0.0,0.0,0.0,0.0,1.413219382671577e+18,0.0,0.0,0.0,1,0.0
shawntradez,5.685159446043013e+18,0.0,1.0,2.0,0.0,5.685159446043013e+18,0.0,0.0,0.0,4,0.0
shearer991,2.8322692195060326e+18,0.0,0.0,1.0,0.0,2.8322623692554076e+18,0.0,2.8322623692554076e+18,0.0,2,0.0
shifanajd,1.4366481184985661e+18,0.0,0.0,2.0,0.0,1.4366453701682831e+18,0.0,1.4366453701682831e+18,0.0,1,0.0
shiroalerts,1.4169081714535014e+18,0.0,0.0,4.0,0.0,1.4169070489318932e+18,0.0,1.4169070489318932e+18,0.0,1,0.0
shittupujinrai,1.417811060174721e+18,1.0,0.0,9.0,0.0,1.417811060174721e+18,0.0,0.0,0.0,1,0.0
shmoneyjc,1.4113791507246162e+18,1.0,0.0,0.0,0.0,1.411362954377937e+18,0.0,1.411362954377937e+18,0.0,1,0.0
shortdatauk,1.4135422201966141e+18,0.0,0.0,0.0,0.0,1.4135422201966141e+18,0.0,0.0,0.0,1,0.0
shortvolumes,4.27597805138539e+19,0.0,2.0,3.0,0.0,4.27597805138539e+19,0.0,0.0,0.0,30,0.0
signe823,5.758712260970902e+18,0.0,0.0,0.0,0.0,5.758712260970902e+18,0.0,0.0,0.0,4,0.0
silentmax,7.106679123345674e+18,0.0,0.0,1.0,0.0,7.106679123345674e+18,0.0,0.0,1.0,5,20.0
sillemellis,4.2525971114447913e+18,0.0,1.0,5.0,2.0,4.2525971114447913e+18,0.0,0.0,0.0,3,0.0
silverback9876,1.4203567951728927e+18,0.0,0.0,2.0,0.0,1.4203567951728927e+18,0.0,0.0,0.0,1,0.0
silverfalcon77,1.4134825766779412e+18,0.0,0.0,0.0,0.0,1.4134610244018586e+18,0.0,1.4134610244018586e+18,0.0,1,0.0
simonstradeinc,7.117155857278898e+18,0.0,0.0,0.0,0.0,7.117155857278898e+18,0.0,0.0,0.0,5,0.0
simpletrader77,4.2773400640629105e+18,5.0,1.0,19.0,0.0,4.2773400640629105e+18,0.0,0.0,0.0,3,0.0
simpsjm1,7.132231824380617e+18,3.0,0.0,5.0,0.0,7.13156332637732e+18,0.0,7.131897995086172e+18,1.0,5,20.0
sincat39,2.83966037346542e+18,0.0,1.0,10.0,2.0,2.83966037346542e+18,0.0,0.0,0.0,2,0.0
sirbkells7290,1.410755893268865e+18,0.0,0.0,0.0,0.0,1.410755893268865e+18,0.0,0.0,0.0,1,0.0
siyul,1.4099716697714688e+18,0.0,0.0,1.0,0.0,1.4099638201021358e+18,0.0,1.4099638201021358e+18,0.0,1,0.0
sjstocktrader,1.4271150876644884e+18,0.0,0.0,0.0,0.0,1.4271133828182344e+18,0.0,1.4271133828182344e+18,0.0,1,0.0
sky_tradez,1.4149443052449341e+18,0.0,0.0,0.0,0.0,1.4149443052449341e+18,0.0,0.0,0.0,1,0.0
sleekoptions,1.5657429232721163e+20,0.0,0.0,3.0,0.0,1.5657429232721163e+20,0.0,0.0,4.0,110,3.6363636363636362
slyther3,1.420023617342038e+18,0.0,0.0,1.0,0.0,1.4200198945909678e+18,0.0,1.4200198945909678e+18,0.0,1,0.0
smallcap_stonks,1.4113298040377262e+18,0.0,0.0,1.0,0.0,1.4113298040377262e+18,0.0,0.0,0.0,1,0.0
smbcnikko_jp,7.108040285009388e+18,0.0,3.0,18.0,0.0,7.108040285009388e+18,0.0,0.0,0.0,5,0.0
smchammah,1.4132316146085274e+18,0.0,0.0,0.0,0.0,1.4129405109820252e+18,0.0,1.4129405109820252e+18,1.0,1,100.0
smd_success,4.274678683928781e+18,0.0,0.0,0.0,0.0,4.274678683928781e+18,0.0,0.0,0.0,3,0.0
smiths117,5.1141201592393335e+19,0.0,3.0,5.0,0.0,5.1141201592393335e+19,0.0,0.0,0.0,36,0.0
snorlax_uw,9.958926016474776e+18,16.0,13.0,134.0,3.0,9.958926016474776e+18,0.0,0.0,0.0,7,0.0
sofain,2.835728979878347e+18,0.0,0.0,3.0,0.0,2.8356249640961024e+18,0.0,2.8356249640961024e+18,0.0,2,0.0
solaj,1.4196899804824248e+18,1.0,0.0,0.0,0.0,1.4196858064872612e+18,0.0,1.4196858064872612e+18,0.0,1,0.0
soundmajorr,1.4260085512023327e+18,0.0,0.0,2.0,0.0,1.42599534331392e+18,0.0,1.42599534331392e+18,0.0,1,0.0
soundtradepsych,1.413336904993583e+18,4.0,1.0,12.0,0.0,1.413336904993583e+18,0.0,0.0,0.0,1,0.0
southbayseller,1.429648199707349e+18,0.0,0.0,0.0,0.0,1.4296479064879022e+18,0.0,1.4296479064879022e+18,0.0,1,0.0
spacemnke,9.96818952541513e+18,2.0,1.0,14.0,3.0,9.968189497569153e+18,0.0,4.2617493041901445e+18,0.0,7,0.0
spacsmaster,4.42244270190934e+19,9.0,12.0,49.0,0.0,4.42244270190934e+19,0.0,0.0,1.0,31,3.225806451612903
spakaveli,1.43291025923294e+18,0.0,0.0,0.0,0.0,1.4328042551073628e+18,0.0,1.4328042551073628e+18,0.0,1,0.0
sparkysparks545,1.4149056660749722e+18,0.0,0.0,0.0,0.0,1.4149056660749722e+18,0.0,0.0,1.0,1,100.0
spectre_trades,2.8305926853848556e+18,0.0,1.0,4.0,0.0,2.8305926853848556e+18,0.0,0.0,0.0,2,0.0
spiralonEarth,2.856568584240001e+18,2.0,0.0,4.0,0.0,2.856568584240001e+18,0.0,0.0,0.0,2,0.0
square1ruffles,1.4374292418980168e+18,1.0,0.0,0.0,0.0,1.4374114827575788e+18,0.0,1.4374114827575788e+18,0.0,1,0.0
squawksquare,1.848643215782298e+19,88.0,11.0,625.0,1.0,1.848643215782298e+19,0.0,0.0,0.0,13,0.0
sriniksv,1.4197825007469445e+18,0.0,1.0,1.0,0.0,1.4197495566156308e+18,0.0,1.4197495566156308e+18,0.0,1,0.0
srussolillo,1.4157153388057805e+18,0.0,0.0,1.0,0.0,1.4157153388057805e+18,0.0,0.0,1.0,1,100.0
sspencer_smb,1.4229292618333594e+18,0.0,0.0,3.0,0.0,1.4229292618333594e+18,0.0,0.0,0.0,1,0.0
sssvenky,1.413311952315691e+18,0.0,0.0,3.0,0.0,1.4132823096384307e+18,0.0,1.4132823096384307e+18,0.0,1,0.0
stalzer_frank,1.413540469737468e+18,0.0,0.0,0.0,0.0,1.413540469737468e+18,0.0,0.0,0.0,1,0.0
starcevic_alex,7.183867413592191e+18,0.0,1.0,1.0,0.0,7.183867413592191e+18,0.0,0.0,0.0,5,0.0
starfishtrader,1.4131875420825231e+18,0.0,0.0,0.0,0.0,1.4131868736572826e+18,0.0,1.4131868736572826e+18,0.0,1,0.0
starlight_jones,1.416129931432665e+18,1.0,0.0,1.0,0.0,1.416128291858178e+18,0.0,1.4161292566866043e+18,0.0,1,0.0
starsonb,1.4299271047334052e+18,0.0,1.0,1.0,0.0,1.4299271047334052e+18,0.0,0.0,1.0,1,100.0
stas_p,8.558082461224669e+18,1.0,0.0,5.0,0.0,8.558082461224669e+18,0.0,0.0,0.0,6,0.0
steady_profits,1.4371622976387564e+18,0.0,0.0,0.0,0.0,1.4371622976387564e+18,0.0,0.0,0.0,1,0.0
steadynotgreedy,2.838481560388063e+18,0.0,0.0,0.0,0.0,2.838481560388063e+18,0.0,0.0,0.0,2,0.0
stephancheatham,2.8398205151466947e+18,0.0,0.0,1.0,0.0,2.8397917302044836e+18,0.0,1.419708460460032e+18,0.0,2,0.0
steved_nyc,2.8600880540027945e+18,0.0,0.0,1.0,0.0,2.860044273652175e+18,0.0,2.860044273652175e+18,0.0,2,0.0
stevekavdc,2.8433204266389545e+18,0.0,0.0,12.0,0.0,2.8433204266389545e+18,0.0,0.0,0.0,2,0.0
stevenalca,1.419541763832828e+18,1.0,0.0,0.0,0.0,1.419541763832828e+18,0.0,0.0,0.0,1,0.0
stevendaman90,1.4324340880282378e+18,0.0,0.0,0.0,0.0,1.4324336053394555e+18,0.0,1.4324336053394555e+18,0.0,1,0.0
steviebreech,1.2767087015154188e+19,0.0,0.0,1.0,0.0,1.2767087015154188e+19,0.0,0.0,0.0,9,0.0
stewjoncapital,4.2753174170451804e+18,0.0,0.0,0.0,0.0,4.2753174170451804e+18,0.0,0.0,0.0,3,0.0
stgmobile,2.832696540536955e+18,0.0,0.0,0.0,0.0,2.8326955481898353e+18,0.0,2.8326955481898353e+18,0.0,2,0.0
stingeralgo,1.4308946506555924e+18,0.0,0.0,0.0,0.0,1.4308946506555924e+18,0.0,0.0,0.0,1,0.0
stinkydumper22,1.4121995286404833e+18,0.0,0.0,1.0,0.0,1.4121977813437727e+18,0.0,1.4121977813437727e+18,0.0,1,0.0
stock_brah,1.1365566940592226e+19,5.0,5.0,9.0,1.0,1.136556688411589e+19,0.0,2.827989423992996e+18,0.0,8,0.0
stock_family,2.869646684771447e+18,0.0,0.0,1.0,0.0,2.869646684771447e+18,0.0,0.0,0.0,2,0.0
stock_lesnar,1.4178734658818662e+18,0.0,0.0,1.0,0.0,1.4178734658818662e+18,0.0,0.0,0.0,1,0.0
stock_market_a,2.8554133853625057e+18,0.0,0.0,0.0,0.0,2.8554133853625057e+18,0.0,0.0,0.0,2,0.0
stock_observer_,1.4363793834308813e+18,0.0,0.0,1.0,0.0,1.4363793834308813e+18,0.0,0.0,0.0,1,0.0
stock_optionss,2.843875849418965e+18,0.0,0.0,0.0,0.0,2.843875849418965e+18,0.0,0.0,0.0,2,0.0
stock_titan,1.852163573391025e+19,0.0,0.0,3.0,1.0,1.852163573391025e+19,0.0,0.0,0.0,13,0.0
stockbeep,1.4210892098187932e+19,0.0,1.0,4.0,0.0,1.4210892098187932e+19,0.0,0.0,2.0,10,20.0
stockguru2021,1.4171357597489684e+18,0.0,0.0,0.0,0.0,1.4171355835964867e+18,0.0,0.0,0.0,1,0.0
stockinfocus_,3.694417826913729e+19,0.0,12.0,26.0,1.0,3.694417826913729e+19,0.0,0.0,5.0,26,19.230769230769234
stockjock84,1.4131283619212042e+18,1.0,0.0,1.0,0.0,1.4131283619212042e+18,0.0,0.0,0.0,1,0.0
stocklocktradin,2.8260989551308923e+18,0.0,0.0,6.0,0.0,2.8260989551308923e+18,0.0,0.0,0.0,2,0.0
